iter	Passed	Remaining
427	1804	2411
428	1811	2410
429	1815	2406
430	1819	2402
431	1823	2398
432	1828	2394
433	1832	2389
434	1835	2384
435	1838	2378
436	1842	2373
437	1845	2368
438	1849	2363
439	1852	2357
440	1856	2353
441	1860	2348
442	1863	2343
443	1867	2339
444	1871	2334
445	1875	2330
446	1879	2324
447	1882	2319
448	1885	2314
449	1889	2309
450	1892	2303
451	1896	2298
452	1900	2294
453	1904	2289
454	1907	2284
455	1910	2279
456	1914	2274
457	1918	2270
458	1922	2266
459	1926	2261
460	1930	2256
461	1933	2251
462	1936	2246
463	1940	2241
464	1943	2236
465	1947	2231
466	1950	2225
467	1953	2220
468	1956	2215
469	1960	2211
470	1964	2206
471	1967	2201
472	1970	2195
473	1974	2190
474	1977	2185
475	1981	2180
476	1984	2175
477	1988	2171
478	1991	2165
479	1994	2160
480	1997	2155
481	2001	2150
482	2004	2145
483	2009	2141
484	2012	2137
485	2016	2132
486	2019	2127
487	2023	2122
488	2026	2118
489	2029	2112
490	2033	2107
491	2036	2102
492	2040	2097
493	2042	2092
494	2046	2087
495	2049	2082
496	2053	2078
497	2056	2073
498	2060	2068
499	2063	2063
500	2068	2059
501	2071	2055
502	2075	2050
503	2078	2045
504	2081	2040
505	2085	2036
506	2089	2031
507	2093	2027
508	2096	2022
509	2100	2017
510	2103	2012
511	2106	2008
512	2110	2003
513	2115	1999
514	2119	1996
515	2122	1990
516	2126	1986
517	2129	1981
518	2133	1977
519	2136	1972
520	2140	1967
521	2143	1962
522	2147	1958
523	2169	1970
524	2173	1966
525	2178	1962
526	2182	1958
527	2187	1955
528	2192	1952
529	2196	1948
530	2201	1944
531	2205	1940
532	2209	1935
533	2213	1931
534	2217	1927
535	2221	1922
536	2225	1918
537	2228	1913
538	2232	1909
539	2235	1904
540	2239	1900
541	2242	1894
542	2246	1890
543	2249	1885
544	2269	1894
545	2278	1894
546	2286	1893
547	2292	1891
548	2299	1889
549	2305	1886
550	2310	1882
551	2315	1879
552	2319	1875
553	2324	1871
554	2327	1866
555	2332	1862
556	2335	1857
557	2339	1853
558	2343	1848
559	2346	1843
560	2350	1839
561	2353	1834
562	2357	1829
563	2360	1824
564	2364	1820
565	2367	1815
566	2371	1810
567	2374	1805
568	2378	1801
569	2381	1796
570	2384	1791
571	2387	1786
572	2391	1782
573	2394	1777
574	2398	1772
575	2401	1767
576	2405	1763
577	2408	1758
578	2412	1754
579	2415	1749
580	2419	1744
581	2423	1740
582	2426	1735
583	2430	1731
584	2433	1726
585	2437	1721
586	2440	1717
