iter	Logloss
0	0.6835707206
1	0.6744483151
2	0.6656883308
3	0.6574528481
4	0.6495691465
5	0.6421681145
6	0.6350874534
7	0.6281658116
8	0.6217806961
9	0.6156455515
10	0.6098624067
11	0.6043317835
12	0.5991914573
13	0.5940864768
14	0.5893625379
15	0.5847622726
16	0.5805284369
17	0.576332279
18	0.5724692456
19	0.568817995
20	0.5653964188
21	0.562025857
22	0.5587965689
23	0.5557479084
24	0.5529116867
25	0.5500458766
26	0.5473213765
27	0.5448062908
28	0.5424390013
29	0.5401535535
30	0.5380529239
31	0.5359477758
32	0.5339522359
33	0.531989491
34	0.5300958343
35	0.528327163
36	0.5265674557
37	0.5250187296
38	0.5234915024
39	0.5220375904
40	0.5206979142
41	0.5194451449
42	0.5182421146
43	0.516991568
44	0.5157313651
45	0.5146140756
46	0.5133579539
47	0.512185095
48	0.5112027023
49	0.510279122
50	0.509345193
51	0.5084601286
52	0.5076485978
53	0.5068066406
54	0.506108034
55	0.5052848064
56	0.5044629635
57	0.5037689482
58	0.5030727102
59	0.502406097
60	0.5018951872
61	0.501282795
62	0.5006576493
63	0.5002003046
64	0.4996907795
65	0.4991672254
66	0.4984441319
67	0.4979190109
68	0.4974863719
69	0.4968870977
70	0.4964866707
71	0.4960332979
72	0.4954929454
73	0.4949852787
74	0.4945953096
75	0.4941933521
76	0.4937127594
77	0.4932709378
78	0.4929193753
79	0.4925097656
80	0.4921289791
81	0.4917438564
82	0.4914150318
83	0.4910530113
84	0.4906557544
85	0.4903468254
86	0.4900353093
87	0.4896963911
88	0.4893334597
89	0.4889914441
90	0.4886579918
91	0.4883570429
92	0.4879420767
93	0.4876892636
94	0.4873884241
95	0.4870648467
96	0.4868535375
97	0.4865932544
98	0.4863416803
99	0.4860730891
100	0.485685525
101	0.485298799
102	0.4849062792
103	0.4845896616
104	0.4843527723
105	0.4840479609
106	0.4837821755
107	0.483654275
108	0.4834573228
109	0.4831554629
110	0.482926991
111	0.4826928347
112	0.4823626982
113	0.4821283961
114	0.4818187383
115	0.4814995336
116	0.4812223793
117	0.4809477393
118	0.4807322032
119	0.4804486357
120	0.480159238
121	0.4799480017
122	0.4797010188
123	0.4794884707
124	0.4792708576
125	0.479013599
126	0.4787193184
127	0.4784578693
128	0.4782378877
129	0.478021805
130	0.4778890946
131	0.4776125233
132	0.4773322717
133	0.4771070429
134	0.4768174994
135	0.4765957323
136	0.4763553084
137	0.4761090543
138	0.4758581361
139	0.4757174455
140	0.475518234
141	0.4753371691
142	0.4750751734
143	0.4748434585
144	0.4747154486
145	0.4743458489
146	0.4741592453
147	0.4739841564
148	0.4738239345
149	0.4735971753
150	0.4734125758
151	0.473167342
152	0.4729234929
153	0.4726876603
154	0.4723869665
155	0.4721678594
156	0.4719427399
157	0.4716908014
158	0.4714910069
159	0.4712880422
160	0.4710280507
161	0.4708096723
162	0.4706608194
163	0.4704867508
164	0.4702348487
165	0.4700236488
166	0.4697579364
167	0.4696047108
168	0.4694365089
169	0.4692727889
170	0.4690427501
171	0.4688190882
172	0.4687104274
173	0.4684214669
174	0.4681431101
175	0.4679856576
176	0.4677812354
177	0.4676125962
178	0.4673419281
179	0.4671753294
180	0.4669999125
181	0.4667616021
182	0.4665603137
183	0.4662623892
184	0.4659633352
185	0.4657496939
186	0.4655794878
187	0.4653159253
188	0.4651796802
189	0.4649785739
190	0.4648517301
191	0.4646806495
192	0.4644022563
193	0.4642120088
194	0.4639876545
195	0.4638402956
196	0.4636504489
197	0.4634626428
198	0.4632035258
199	0.4630715806
200	0.4629189745
201	0.4626254956
202	0.4624486212
203	0.4623263686
204	0.4621279953
205	0.4619629635
206	0.4617646995
207	0.4614438549
208	0.4612568505
209	0.4610704291
210	0.4608332483
211	0.4607074248
212	0.4605136792
213	0.4602747493
214	0.4600695254
215	0.4598218138
216	0.4596263555
217	0.4594240468
218	0.4592680883
219	0.4590895012
220	0.4588705034
221	0.4586887462
222	0.4584922312
223	0.4583345965
224	0.4581787474
225	0.4579791715
226	0.4578063054
227	0.4576227262
228	0.4574524837
229	0.4572177443
230	0.4570485949
231	0.4568269007
232	0.4564941771
233	0.4563113995
234	0.4560950618
235	0.4558006355
236	0.4556858165
237	0.4554342788
238	0.4552193986
239	0.4549279239
240	0.4546758396
241	0.4544740409
242	0.4542443665
243	0.454012433
244	0.4537987552
245	0.4536028597
246	0.4533619257
247	0.4531827921
248	0.452952644
249	0.4527356868
250	0.4525448198
251	0.4522567703
252	0.4520942164
253	0.4519888351
254	0.4518252245
255	0.451652577
256	0.4514735162
257	0.4512247843
258	0.4509960937
259	0.450761573
260	0.450496808
261	0.4502894706
262	0.4500929921
263	0.4499044936
264	0.4496534296
265	0.4494523233
266	0.4493007375
267	0.4491146076
268	0.4489337249
269	0.4486935197
270	0.4484996283
271	0.4482636865
272	0.4480265057
273	0.447718852
274	0.4475032795
275	0.4473391951
276	0.4470829204
277	0.4468705909
278	0.4467379897
279	0.4465904851
280	0.4463578956
281	0.4463480935
282	0.4461201682
283	0.4458980002
284	0.4456824277
285	0.4454280113
286	0.4452712512
287	0.4450749184
288	0.4449399487
289	0.4446907431
290	0.4445086943
291	0.4442416336
292	0.4440810838
293	0.4439185663
294	0.4437432588
295	0.4436056291
296	0.4433720922
297	0.4431739739
298	0.4429537736
299	0.4427065357
300	0.442518766
301	0.4422580457
302	0.4420027912
303	0.4418153131
304	0.4415310532
305	0.4413250277
306	0.4411099289
307	0.4409100615
308	0.4407080807
309	0.4404899939
310	0.4403826084
311	0.4402206011
312	0.4400976563
313	0.4398804075
314	0.4396843663
315	0.4394296948
316	0.4392746108
317	0.4390735045
318	0.4388669689
319	0.4387171321
320	0.4384575414
321	0.4382002828
322	0.4380053347
323	0.4377234433
324	0.4374311305
325	0.4372851927
326	0.4370872566
327	0.4368957702
328	0.4366624883
329	0.4364552968
330	0.4362660331
331	0.4360468531
332	0.4358780682
333	0.4356068534
334	0.4354319832
335	0.4352404239
336	0.4350164704
337	0.4348071289
338	0.4346565269
339	0.4344430679
340	0.4342741736
341	0.433991517
342	0.433738048
343	0.4334725542
344	0.433295534
345	0.4330968692
346	0.4329691873
347	0.4327687733
348	0.4325704728
349	0.4323513293
350	0.4321051481
351	0.4319124592
352	0.4316158101
353	0.431472423
354	0.4312516762
355	0.43113161
356	0.4309718254
357	0.4307732334
358	0.4305222423
359	0.4303473356
360	0.430184891
361	0.4300249971
362	0.4297920432
363	0.4295468458
364	0.4294009445
365	0.4291768453
366	0.4289889299
367	0.4288388016
368	0.4286228647
369	0.4284891339
370	0.4283089436
371	0.4280104361
372	0.4277603195
373	0.4275307544
374	0.4273052341
375	0.4271641062
376	0.426918508
377	0.4267432005
378	0.4265274822
379	0.4263686451
380	0.4262322907
381	0.4260024706
382	0.4258546744
383	0.4256310124
384	0.4253495948
385	0.4251660885
386	0.424936159
387	0.4247204043
388	0.4246182661
389	0.4243968269
390	0.4241202192
391	0.4238697018
392	0.4236412663
393	0.4235057865
394	0.4232829991
395	0.4231031367
396	0.4229828154
397	0.4227961754
398	0.4225195677
399	0.4224127653
400	0.4222061203
401	0.4220833576
402	0.4218641412
403	0.4215842176
404	0.4213958649
405	0.4212557209
406	0.4210109973
407	0.4207905055
408	0.4205335748
409	0.4202688098
410	0.4200725863
411	0.4197899297
412	0.4195936698
413	0.4194170141
414	0.4192727524
415	0.4190992304
416	0.4189276396
417	0.4187342584
418	0.4185452134
419	0.4184061625
420	0.4181663946
421	0.418006938
422	0.417892702
423	0.4177118558
424	0.4174967205
425	0.4173194088
426	0.4171930387
427	0.4170187879
428	0.4167448403
429	0.4165517505
430	0.4163001035
431	0.4161063579
432	0.4158581361
433	0.4155114928
434	0.4152910375
435	0.4151370831
436	0.4149625408
437	0.414728676
438	0.4144994753
439	0.4143065677
440	0.414058018
441	0.4138253192
442	0.4136229011
443	0.4134296292
444	0.4131657751
445	0.4129546117
446	0.4127264678
447	0.4125517797
448	0.4123433856
449	0.4121516441
450	0.4120256384
451	0.4119061917
452	0.4117242523
453	0.4115125058
454	0.411320983
455	0.411109273
456	0.4108701609
457	0.4106829378
458	0.4105187442
459	0.4103812238
460	0.4101179163
461	0.4099398758
462	0.4097553492
463	0.4095626603
464	0.4094215325
465	0.4092194788
466	0.4090078417
467	0.4088608107
468	0.4086586477
469	0.408407693
470	0.4082223647
471	0.4079912692
472	0.4077548537
473	0.4076046161
474	0.4074020522
475	0.4072247406
476	0.4069391325
477	0.4067158349
478	0.4065436247
479	0.4063518467
480	0.4061599959
481	0.405959254
482	0.4057403656
483	0.4055519764
484	0.4053896776
485	0.405189956
486	0.4049246444
487	0.4047400449
488	0.404560474
489	0.404320706
490	0.404119454
491	0.4039790549
492	0.4038098327
493	0.4036165608
494	0.4034520027
495	0.4032387622
496	0.403058827
497	0.4029078606
498	0.4027750408
499	0.4026200297
500	0.4023746502
501	0.4021189949
502	0.4019496997
503	0.4016800155
504	0.4014588678
505	0.4013404778
506	0.4011691785
507	0.4010184308
508	0.4008404632
509	0.4006749942
510	0.400537911
511	0.4003554615
512	0.4000923362
513	0.3999285069
514	0.3997929542
515	0.3995983705
516	0.3994130058
517	0.3992289893
518	0.3990346607
519	0.3988758964
520	0.3986914791
521	0.3984823563
522	0.398250532
523	0.3980529239
524	0.3978564453
525	0.3977044951
526	0.3974893598
527	0.3972643861
528	0.39703125
529	0.3968057661
530	0.3965713911
531	0.3963228414
532	0.3960852962
533	0.3959821377
534	0.3957061859
535	0.3955408626
536	0.3953481372
537	0.3951719916
538	0.3949570021
539	0.3948019181
540	0.3945913742
541	0.394409617
542	0.3942110978
543	0.394012105
544	0.393841826
545	0.3936486999
546	0.3934806072
547	0.3932906512
548	0.3931118091
549	0.3929250598
550	0.3927978516
551	0.3926253498
552	0.3924727801
553	0.3923098618
554	0.3920916293
555	0.3918787896
556	0.3917285521
557	0.3915772942
558	0.3913213474
559	0.3911767214
560	0.3909397957
561	0.3907354827
562	0.3905266878
563	0.3903082731
564	0.3901348968
565	0.3898122668
566	0.3896468342
567	0.3893712104
568	0.3892333984
569	0.3890393249
570	0.3888805241
571	0.388746101
572	0.38850043
573	0.3882914529
574	0.3880495715
575	0.3878663567
576	0.3877360148
577	0.3875725863
578	0.3873868208
579	0.3872961608
580	0.3871128367
581	0.3868737611
582	0.3866579699
583	0.3864842292
584	0.3863452513
585	0.3860941873
586	0.3859322528
587	0.3856842497
588	0.3855293843
589	0.3853562267
590	0.3851483063
591	0.3850063404
592	0.3848510378
593	0.3845757419
594	0.3844439788
595	0.3842051947
596	0.3840878979
597	0.3839278947
598	0.3837725192
599	0.3835055679
600	0.3833445808
601	0.382996808
602	0.3827017622
603	0.3825499213
604	0.3823747231
605	0.382218218
606	0.3820734462
607	0.3818698986
608	0.381674914
609	0.3815391427
610	0.3813723618
611	0.3811918435
612	0.3810098677
613	0.3808703795
614	0.3805841156
615	0.380352182
616	0.3801682748
617	0.3799903801
618	0.3798071289
619	0.3796870627
620	0.3795425096
621	0.379393511
622	0.3792028262
623	0.3790088619
624	0.3788484579
625	0.3786451288
626	0.3784717526
627	0.3783169601
628	0.3780893263
629	0.3779406192
630	0.3777086127
631	0.3775269283
632	0.3773809541
633	0.3771828358
634	0.3769752799
635	0.376813564
636	0.376553281
637	0.3763561101
638	0.3761601417
639	0.3759454437
640	0.3757229113
641	0.3755107276
642	0.3752583882
643	0.3751023933
644	0.3749166278
645	0.3746914718
646	0.3745398496
647	0.3743368485
648	0.3740864404
